PanelID,Manufacturer,Model,WattagePeak,VoltageOC,VoltageMP,CurrentSC,EfficiencyPercent,PriceUSD,WidthMM,HeightMM
P001,Jinko Solar,Tiger Neo 100,100,22.3,18.6,5.7,20.1,65,1050,540
P002,Canadian Solar,HiKu6 150,150,24.1,20.2,7.6,20.5,95,1320,680
P003,Trina Solar,Vertex S 200,200,36.4,30.1,6.9,20.8,120,1500,900
P004,LONGi Solar,Hi-MO5 250,250,38.9,32.4,7.9,21.0,150,1650,992
P005,JA Solar,DeepBlue 300,300,41.2,34.6,8.9,21.3,175,1722,1134
P006,Jinko Solar,Tiger Neo 350,350,44.5,37.1,9.6,21.5,205,1762,1134
P007,Canadian Solar,HiKu6 400,400,46.3,38.7,10.5,21.6,240,1852,1134
P008,Trina Solar,Vertex 450,450,50.2,41.8,11.2,21.8,270,2094,1134
P009,LONGi Solar,Hi-MO6 550,550,52.1,43.7,12.9,22.3,330,2278,1134
P010,REC Group,Alpha Pure 430,430,45.8,38.2,11.9,22.5,320,1721,1016
P011,SunPower,Maxeon 6 440,440,45.9,38.5,11.7,22.8,410,1812,1046
P012,Panasonic,EverVolt 380,380,42.7,35.6,10.6,21.7,290,1732,1052
